Name,Height
Daniel Angulo,
Anthony Attenborough,70.0
Charles Cusumano,64.0
Eslam Hussein,70.0
Chris Ivanov,75.0
Maxim Kleyer,70.0
David Poggioli,73.0
Sam Rozenfeld,67.0
Tom Smith,69.0
Michael Sorensen,71.0
Michael Stora,69.0
Jason Torchio,69.0
Christopher Mendez,67.0
"Anthony Nazario, Jr.",69.0
Alex Winter,72.0
Yair Barrera,70.0
Nicholas  Blanco,71.0
Kevin Chen,69.0
Gary Danilyan,74.0
Youssef  Elkhouly,75.0
Kasper Gacek,77.0
Gent Gazheli,72.0
Abdul  Khan,74.0
Fernando Marroquin,68.0
Eli Meron,73.0
Eli Mogorichev,72.0
Dayan  Ordabayev,70.0
Jack Ousmanov,72.0
William Rose,74.0
Levon Safaryan,71.0
Ben Sionov,66.0
Samuel Yakubov,68.0
Ronaldo Barrios,74.0
David  Greenwald,
Christian Hoyek,72.0
Eric Li,64.0
Joseph Scarpetta,65.0
Tristan Scotland,68.0
Jordan Anderson,72.0
Tyler  Arthur,70.0
Ryan Boeding,74.0
Noah Boyd,68.0
Jerry Brown,77.0
Brooks Cosman,72.0
Trevor Danner,73.0
Alex Gelman,71.0
Eric Hansson,72.0
Jan Hanzal,68.0
Tait Harvey,73.0
Nicholas Heye,71.0
Kyle Holzum,76.0
Elliott Irwin,74.0
Vincent Jaworski,74.0
Connor  Jokerst,70.0
Zach Linder,77.0
Matheo Mateos-Mongelos,72.0
Dylan McClain,72.0
David Molina-Fregenal,70.0
Brooks Moore,71.0
Jake Noble,70.0
Jose Ochoa,69.0
Melker Olsson,74.0
Evan Root,76.0
Max Roth,70.0
Pedro Henrique  Salvador da Silva,70.0
Gavin Schulte,73.0
Sebastian Silva,68.0
Ole Tharandt,72.0
Tyler Welch,69.0
Patryk Winiatowski,72.0
John Bodden,75.0
Owen Brubaker,76.0
DaVante Carey,70.0
Filip Cigic,73.0
Noah Fishel,72.0
Xavier Flores,72.0
Charlie Fraser-Allen,72.0
Leo Gandaria-Hernandez,72.0
Kenneth Glidden,74.0
Colton Grimes,78.0
Ethan Hanson,75.0
Noah Javens,75.0
Nick Khatkovyy,68.0
Ethan Larson,71.0
Caleb Law,72.0
Gregg Lichinsky,73.0
Jackson Lustig,72.0
Macoy Neinas,75.0
Emilio Perez,74.0
Filipe Pinheiro,73.0
Robert Ross,75.0
Patryk Rozenek,74.0
Garrett Schrock,71.0
Xander Skinner,76.0
Arthur Souza,67.0
Gavin Wagner,76.0
Alireza Yavari,68.0
Taras Zherebetskyy,74.0
Devin Alejado,67.0
Alessandro Alvarez,68.0
Giovanni Alvarez,68.0
Caleb Baron,68.0
Jace Cortez-Fields,68.0
Samuel De Leon,65.0
Emile Eeckhout,72.0
Benjamin Gomez,73.0
Jeffrey Horn,72.0
Spencer Hughes,72.0
Chris Lee,74.0
Matt Liedtka,74.0
Brendan McDevitt,72.0
Tyler Moore,73.0
Michael Sooy,72.0
Josh Templeton,78.0
Josh Yee,72.0
Trent Blakeslee,70.0
Ross Caimano,70.0
Joseph  Campise,73.0
Sean Coddington,73.0
Eli Cohen,73.0
Kyle Copper,76.0
Colin Davis,69.0
Mason DeLisio,71.0
Sean Geddes,72.0
Anthony Genovese,72.0
Sean Kirk,68.0
James  Llewellyn,66.0
Derek Luhrs,72.0
Sean Maurer,73.0
Daniel Oh,68.0
Aidan Polley,69.0
Jack Ryan,70.0
Jonathan  Stanzione,72.0
Tristan Tirado,71.0
Matthew Zabatta,69.0
Benjamin Beldner,73.0
Brandon Berger,73.0
Ryan Board,71.0
Keegan Chatham,70.0
Zachary Ciriaco,66.0
Ryan Cohn,70.0
Nathan DeGuzman,69.0
Christopher Egan,66.0
Christopher Ghim,72.0
Brian Harding,76.0
Jackson Homan,72.0
Sandon Karinsky,70.0
George Kipshidze,73.0
Eric Kroon,77.0
Elijah Lanfear,74.0
Xiaoyu Lin,73.0
Ryan Maierle,75.0
William Mauer,70.0
Justin Meyn,74.0
Liam Murphy,73.0
Oisin O'Sullivan,71.0
Matthew Palguta,74.0
Travis Phillips,73.0
Robert Reining,74.0
Henry Shemet,75.0
Jake  Vecchio,68.0
Matthew Czubachowski,72.0
Nicholas Dolan,73.0
Caleb Ferns,72.0
Nicholas Griffith,76.0
Joseph Guiliano,72.0
Kieran Hassard,72.0
Anthony Laite,69.0
Drew MacDonald,72.0
Kyle Morken,73.0
Peter Vanderwerf,75.0
