Name,Height
Jeffrey Celis,69
Reng  Chen,69
Edwin Fierros Gaytan,68
Fred  De La Cuadra,70
Utpal  Chand,69
Rahul  Sharma,76
Mohamed  Elshary,74
Kevin  Tocachi,69
Tenzin  Tsepak,72
Xhulio Myftari,78
Ray Rodriguez,67
Juan Lemus,63
Andrew Figueroa,71
Miguel Gonzalez,67
Kemp Brian Dullin,68
Isaac Reyes,67
Emmanuel Oladosu,70
Jimmy Evans,67
Oscar Garcia,72
Christopher Gil,69
Neithan Pilay,70
Christian Agudo,67
Jefferson Rodriguez,72
Darren Roach,66
Admir Cekic,72
Jasper Diangco,71
David  Li,75
Zhao Ming Li,72
"Fidel  Maldonado, Jr.",73
Aziz Abdusamiev,75
Brian Fok,69
Omar  Rezika,74
Shunghuei Zhu,72
Stephen Daly,69
Evan Wandersee,67
Bryce Glasper,64
Manuel Peralta,71
Alex Bridgelall,69
Stephen De Stefani,73
Carlos Llivicura,67
Logan Ramos,70
Jack Nugent,77
Akashdeep Singh,76
Kyle Barriffe-Johnson,78
Wen Cheung,69
Naoki Tani,67
Jack Centeno,73
Travis Goding,70
Aleksandr  Howard,76
Stallone Shankar,72
Ryan Oommen,69
Michael Higgins,76
Defeng Han,74
Carlos Rodriguez,76
Haoxin Hu,76
Juancarlos  Henriquez,72
Andrew Ubanwa,75
Justin Iloulian,75
Akil Vaughn,79
Alex Bridgelall,69
Sebastiann Perez,71
Enmanuel  Jaquez,67
Jovan Scott,74
Eliah Tull,67
Bishmii Sanchez,71
Austin  Romeo,69
Christ Noel,72
Bryan Eng,66
David Lou,69
Andrew Reza,66
Chris Scandole,69
Raymond Yu,68
Hamza Eelsherbiny,71
Nick Yao,69
Ted Kim,72
Cooper Moran,73
Gabe Mendoza,70
Onyeka Onaga,75
Sherrod Cole,76
Niro Osbourne,73
Alex Winter,72
Shawn Nemoto,67
Justin Dibra,74
Kensley Jean Gilles,73
Mambe Koureissi,76
"Anthony Nazario, Jr.",69
Olawale Kila,76
"David Heyliger, Jr.",73
Jamie Haskell,70
David Flores,73
Kaleb  Jenness,78
Xander Pink,67
Lukas Pytlak,74
Quinn Isaacson,74
Colin Ensalaco,73
Trevor Phillips,78
Vanis Buckholz,78
Bryce Behrendt,76
Angelos Mandilaris,79
Felix Egharevba,77
Mark Wickstrom,81
Dyer Ball,78
Will Hippe,80
Wil McPhillips,76
Aaron Hernandez,75
Brandon Shepherd,74
Kevin Doran,79
Sammy  Adkisson,69
Lucas Biondi,78
Nick Martinski,79
