Name,Height
Kathleen Bridgman,65.0
Angye Galan,
Jessica Johnson,68.0
Macy Jones-Busch,
Bridget Mulvey,67.0
Morgan Novello,64.0
Melissa Poggioli,63.0
Kolleen Rodriguez,
Jordan Swanson,67.0
Rupakshi Aggarwal,
Asha Besaw,61.0
Rory Chea,64.0
Claudia Cimino,
Laura Cruz Rosario,63.0
Natalia Cuttler,66.0
Jillian Etnel,63.0
Kristen Flores,61.0
Alexis Hall,68.0
Bianca Hiltz,69.0
Fatima Morrobel,62.0
Melanie Rodriguez,59.0
Emily Cabrera,65.0
Kacey Clarke,66.0
Hancell De Sosa,64.0
Melanie Guerrero,64.0
Midaelle Phanor,66.0
Micaela Reyes,59.0
Nayelly Rojas,64.0
Maira Zapata,64.0
Scarlet Astudillo,64.0
Joscelyn  Galindo,63.0
Dea Gazheli,63.0
Amanda Lee,61.0
Katherine Lee,62.0
Jillian Quinn,65.0
Aanya Shukul,69.0
Nicole  Tarasiuk,67.0
Joyce  Wong,64.0
Amy Zeng,62.0
Cindy Daza,61.0
Wendy Daza,62.0
Anastassiya Gousseva,66.0
Brittany Henry,65.0
Monica  Prado Capon,66.0
Gianna Roberts,64.0
Kamilla  Shulanova,72.0
Veronika Tsiko,68.0
Emily  Yang,62.0
Leah Allen,65.0
Jessica Brusnahan,66.0
Elle Christie,69.0
Marit de Lau,67.0
Noelle Defabio,66.0
Laney Fenton,67.0
Morgen Frausto,69.0
Isabella Gable,71.0
Jana Hellenschmidt,68.0
Claudia Hollis,69.0
Shelby Kasse,70.0
Ellie Lopez,68.0
Stephanie Marks,70.0
Adison Marshall,69.0
Beata Maruszczyk,63.0
Emily Massengale,67.0
Joselle Mensah,69.0
Marlene Pape,68.0
Chloe  Pearson,64.0
Ashley Richard,64.0
Meredith Riegler,68.0
Camilla Rimmereide,66.0
Leticia Rodrigues,65.0
Lillie Schafer,60.0
Sophia Scott,64.0
Taylor Seilheimer,69.0
McKayla Siemiller,68.0
Emily Snyder,66.0
Nina Tasic,67.0
Bayley Thompson,65.0
Kirsten Votava,69.0
Linsey Watson,68.0
Katie Werkema,63.0
Lexie Winnett,67.0
Lyssa Wood,69.0
Aurora Abbruscato,66.0
Camryn Anderson,69.0
Hallie Anderson,63.0
Claire Brouillet,71.0
Grace Credit,64.0
Lilia de Oliveira Pelaez,62.0
Hallie Dixon,71.0
Emily Drabick,69.0
Hope Euler,69.0
Sarah Gromley,66.0
Regan Gubera,66.0
Presley Heitzmann,71.0
Alexis Kachkin,69.0
Andrea  Menard-Cordoba,64.0
Ana Radulovic,67.0
Haley Rey,71.0
Abigail Rumpp,68.0
Caitlyn Sligh,68.0
Molly Smalley,68.0
Karley Sonnenberg,69.0
Vanda Voroshazy,68.0
Kaitlin Balasaygun,67.0
Amy Butcher,64.0
Carissa Campbell,66.0
Sophia Cender,67.0
Rica De Leon,61.0
Keila Fane,62.0
Taylor Gray,65.0
Camila Mercado,61.0
Fiona Misiura,62.0
Alexa Pappas,68.0
Gabriela Petrova,67.0
Katie Riva,65.0
Rachel Schmidt,66.0
Krisztina Balogh,66.0
Amanda Davis,68.0
Isabel DeSanno,67.0
Katie Pileggi,64.0
Teagan Powell,69.0
Kat Riggins,68.0
Sylvia Rozalski,64.0
Sian Seeger,67.0
Brianna Shaw,69.0
Claire Armstrong,65.0
Erin Clune,70.0
Kimberly Colella,64.0
Cadence  Dudley,62.0
Anna Guzzo,64.0
Natalie Hunt,64.0
Kayla Keddy,62.0
Melissa Kelly,63.0
Anna McCall,66.0
Emma McInerney,67.0
Erin Mullery,66.0
Sophia Olson,62.0
Samantha Sanchez,66.0
Danielle Shaw,61.0
Paige Splendido,65.0
Emma Stephenson,67.0
Callie Stinson,64.0
Jessie Triller,62.0
Emma Trumino,65.0
